Fund ID,Fund,Results Area ID,Results Area,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012
1,General Fund,1,Open and Effective Government,Property Management,Property Management,http://www.nola.gov/property-management/,General fund dollars for property management pay for the directors office and facilities maitenance.,Deputy Mayor,"$5,911,622","$6,576,293","$7,159,843","$6,941,589","$7,498,646","$6,845,297","$6,656,823","$6,305,380","$7,055,173","$6,063,327","$7,339,680",7325178,7379446,7780248,6783461
1,General Fund,1,Open and Effective Government,Civil Service,Civil Service,http://www.nola.gov/civil-service/,"Civil Serice is exclusively funded by the General Fund and uses most of its funding to recruit, develop and maintain a qualified staff of city employees.",CAO,1061574,1525960,"$1,646,264","$1,482,984","$1,795,470","$1,622,784","$1,469,643","$1,552,076","$1,864,409",1245031,1434045,1718570,1691709,1750767,1589878
1,General Fund,4,Sustainable Communities ,Department of Public Works,Public Works,http://www.nola.gov/dpw/,"The Public Works general fund pays for parking enforcement, street lights, traffic engineering and street maintenance.",Deputy Mayor,11607403,18236995,"$18,622,093","$17,802,522","$18,669,127","$18,079,760","$15,242,280","$15,624,570","$23,274,571",14500255,17196492,18155202,16489163,20494346,22933120
1,General Fund,4,Sustainable Communities ,Department of Parks and Parkways,Parks and Parkways,http://www.nola.gov/parks-and-parkways/,"Parks and Parkways general fund dollars go toward paying for park maintenance, park planning, and golf course maintenance.",CAO,3855252,5031521,"$5,348,439","$5,969,740","$6,867,566","$6,508,978","$6,137,667","$7,071,248","$7,397,872",5001079,6674138,7248611,6314645,6790738,6968979
1,General Fund,5,Children and Families ,New Orleans Public Library,Library,http://www.neworleanspubliclibrary.org/welcome.htm,,Independent Board,0,"$525,912","$312,363",0,"$180,603",0,0,0,"$200,000",46878,243718,501202,0,32494,90
1,General Fund,4,Sustainable Communities ,Historic District Landmarks Commission,HDLC,http://www.nola.gov/hdlc/,HDLC in entirely funded by the General Fund. Those dollars pay for maintaining historical buildings and landmarks around New Orleans.,CAO,437980,580032,"$607,591","$603,466","$994,728","$638,095","$638,095","$533,981","$884,755",459422,606704,689707,664514,666769,585203
1,General Fund,4,Sustainable Communities ,Vieux Carre Commission,VCC,http://www.nola.gov/vcc/,VCC is paid for by the General Fund and pays to make sure buildings are up to code in the French Quarter.,CAO,357744,410574,"$419,612","$325,664","$496,870","$344,831","$344,831","$413,231","$413,231",235784,336927,331765,312747,384449,375171
1,General Fund,1,Open and Effective Government,Alcoholic Beverages Control Board,Alcoholic Bvg Ctrl. Bd.,http://nolacitycouncil.com/resources/resources_alcoholicbev_board.asp,ABC is funded through the general fund and pays for liquor license hearings,Independent Board,1500,1500,"$1,455","$1,179","$1,500","$1,500","$1,500","$1,500","$1,500",1295,1401,526,34,14,0
1,General Fund,4,Sustainable Communities ,City Planning Commission,CPC,http://www.nola.gov/city-planning/,CPC's general fund dollars go to pay for core services including reviewing over 500 land use applications per year,Deputy Mayor,1458278,1430105,"$1,429,090","$1,342,012","$1,794,436","$1,781,439","$1,594,134","$997,838","$1,527,327",985250,1149491,1321729,1269541,1513945,1568087
1,General Fund,5,Children and Families ,"Mosquito, Termite and Rodent Control Board",Mosquito Control Bd.,http://www.nola.gov/mosquito/,"MTRCB's core funding, provide from the general fund, pays for management of pests throughout the city",Deputy Mayor,1949756,2323588,"$2,463,730","$2,361,588","$2,646,030","$2,309,627","$2,078,510","$2,078,507","$2,078,507",2636451,2174392,2293307,2266744,2180692,2237800
1,General Fund,5,Children and Families ,New Orleans Museum of Art,NOMA,http://noma.org/,NOMA is paid for by the general fund which covers museum operations and acquisitions. ,Independent Board,104364,"$2,500","$218,250","$196,425","$196,000","$167,772","$151,683","$128,931","$128,931",104361,0,242499,196425,176400,164417
1,General Fund,6,Inspector General,Inspector General,OIG,http://www.nolaoig.org/main/,"The Office of the Inspector General is paid for primarily by the General Fund. This funding pays for staff, ethical review boards, and fraud investigations. ",Independent Board,250000,3430000,"$3,600,670","$3,437,605","$3,635,514","$3,668,522","$3,685,336","$4,217,021","$4,453,854",56593,1680518,1680518,2731230,3447258,3558645
1,General Fund,1,Open and Effective Government,Office of Community Development,Community Development,http://www.nola.gov/community-development/,Community Developmen receives no General Fund dollars,CAO,0,0,0,"$503,700",0,$0,$0,$0,$0,698,353,2012977,10182,0,0
