Fund ID,Fund,Results Area ID,Results Area,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012
2,Other Fund,7,Enterprise Funds,Rivergate Development Corporation,Rivergate,,"The Rivergate Development Corporation (RDC) is a city-operated, non-profit, public benefit corporation founded in 1993 for the purpose of providing for the improvement and commercial development of the Rivergate Convention Center property.",Independent Board,16225000,13000000,"$20,353,794","$20,353,794",18908023,"$18,914,439","$17,280,852",0,0,12947976,14163509,14344307,21021159,13164164,12983014
2,Other Fund,7,Enterprise Funds,Canal Street Development Corporation,Canal St. Development,http://www.nola.gov/boards/canal-street-development-corporation/, The Canal Street Development Corporation stimulates business development in the Central Business District and the adaptive reuse and development of Canal Street for commercial purposes. ,Independent Board,1326682,990339,"$967,744","$967,744",993823,"$1,000,144","$180,698","$19,998,773","$16,428,600",172256,180265,204820,148371,179643,174792
2,Other Fund,7,Enterprise Funds,Piazza d'Italia Development Corporation,Piazza D'Italia,,"The Piazza d'Italia Development Corporation (PDDC) is a city-operated, non-profit, public benefit corporation founded in 1990 for the purpose of providing for the maintenance, improvement, and commercial development of the Piazza d'Italia in accordance with its architectural and cultural integrity.",Independent Board,445000,450000,"$475,000","$475,000",563447,"$563,447","$800,400",0,0,13442,24432,18699,2932,0,0
2,Other Fund,1,Open and Effective Government,Mayor's Office,Federal and State Grants,http://nola.gov/mayor/,"The Mayor's Office sometimes receives federal or state grants, such as the Rockafeller Resilient Cities grant, that work towards open and effective government.",Mayor,0,0,0,0,256775,1241220,2126501,"1,512,464","807,358",,0,266366,244669,113520,1630905
2,Other Fund,2,Public Safety ,Mayor's Office,Criminal Justice Coordination/Homeland Security,http://nolaforlife.org/home/,The federal government provides significant funding for homeland security and emergency preparedness. Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,Mayor,16986125,16690707,76465091,88459395,18924191,0,62149009,85204326,68311137,,1813820,4172068,5520459,8811541,7473955
2,Other Fund,3,Economic Development ,Mayor's Office,Office of Cultural Economy/Office of Economic Development,http://www.nola.gov/cultural-economy/,"Federal and state dollars help pay for tourism incentives, film tax credits, and job training.",Mayor,6396159,7261318,8802003,8582378,7992307,9083137,8957105,"9,063,967","11,207,852",,131594,11158,0,17476,656859
2,Other Fund,4,Sustainable Communities ,Mayor's Office,Community Development,http://www.nola.gov/community-development/,The Office of Community Development receives federal grants (CDBG) and HUD funding to provide affordable housing to New Orleanians.,Mayor,254238,75004786,311350890,1082652600,77085953,15682149,71299650,"37,552,903","26,692,531",,12633471,15076423,19015708,4293671,16286038
2,Other Fund,5,Children and Families ,Mayor's Office,Ryan White/HIV/AIDS Funding,nola.gov/mayor,Some federal money was once available to provide assistance to those living with HIV/AIDS under the Ryan White Fund.,Mayor,10550747,13127432,12663725,13034016,12110770,12216246,0,0,0,,9020016,8572749,0,8131504,927802
2,Other Fund,1,Open and Effective Government,Miscellaneous Programs,Service and Innovation/Office of Performance Accountability,http://www.nola.gov/performance-and-accountability/,"Funding for the Service and Innovation and Performance and Accountability Offices are provided mostly through General Funds. Previously, Intergovernmental funds had been accounted for here to create internal efficencies. ",CAO,100000000,100000000,100000000,75000000,60693712,0,0,0,0,,0,0,0,0,0
2,Other Fund,2,Public Safety ,Miscellaneous Programs,NOPD Consent Decree,http://www.opdla.org,Some state and federal monies are also available to help meet the criteria of the federal consent decrees.,CAO,0,0,0,0,0,0,0,0,7875000,,0,0,0,0,0
2,Other Fund,3,Economic Development ,Miscellaneous Programs,Workforce Development Act,http://www.nola.gov/economic-development/workforce-development/nola-youthworks/,"Formerly called JOB1, some federal money was available to help low income job seekers gain workforce skills.",CAO,17045602,20986165,"18,637,208","17,502,039",13951394,0,0,0,0,,7701134,9260957,0,0,0
2,Other Fund,4,Sustainable Communities ,Miscellaneous Programs,HUD/CBDG,nordc.org,CDBG and HUD funds available to NORDC are accounted for here.,CAO,71819092,101359479,"80,563,621",65571099,74812833,2113691,23982832,3054938,3355585,,40550770,31474711,0,1515238,1823378
2,Other Fund,5,Children and Families ,Miscellaneous Programs,NORDC,http://nordc.org,Funding for the New Orleans Recreational Development Corporation from state and federal sources.,CAO,0,0,0,0,0,0,0,1311486,1311725,0,0,0,0,0,10507
