Expenditures 2009,Department Description,Expenditures 2008,Department,Fund ID,Expenditures 2007,Appropriations 2018,Appropriations 2015,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Results Area ID,Results Area,Expenditures 2015,Expenditures 2014,Short Title,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2007,Link to Website,Appropriations 2008,Appropriations 2009
26665058,The Sheriff's entire budget is provided by the General Fund to pay for criminal expenses and personnel costs.,25327988,Orleans Parish Sheriff's Office,1,24020922,53188976,28584338,24184338,44702778,44028185,22594000,20489901,22134338,22944000,General Fund,Sheriff,2,Public Safety ,54084053,32356930,Sheriff,21608813,21803124,23013071,22543846,27406055,http://www.opcso.org/,27406055,22766556
4067699,"The Clerk's budget pays for administrative costs, court costs, and pre court costs. ",2447641,Clerk of Criminal District Court,1,2193422,3726330,3726330,3726330,3726330,3726330,3850403,3329595,3726330,3726329,General Fund,Clerk of Criminal District Court,2,Public Safety ,3673313,3593985,Clerk of Criminal Court,4096351,3941958,3752310,4027575,2083412,http://www.criminalcourt.org/court/clerk.aspx,2981955,3758492
390732,The registar's budget is provided by the General Fund a pays for the process of voter registration and compliance with election codes.,361410,Registrar of Voters,1,313957,375945,371945,371945,371945,371945,480000,484891,383416,407890,General Fund,Registrar,1,Open and Effective Government,372125,371506,Registrar,392566,376609,337297,531229,306350,http://www.nola.gov/registrar/,372100,372100
213679,The General Fund pays the pension system for retired judges.,225783,Judicial Retirement,1,154605,364000,301500,287233,364000,354000,163792,163792,263238,162477,General Fund,Parish Wide Costs,1,Open and Effective Government,330080,314279,Judicial Retirement,309047,286672,164228,232443,160580,,163792,163792
3936962,"The Mayor's Office's core funding pays for the Neighborhood Engagement Office, communications, and the actual Mayor's Office.",5303863,Mayor's Office,1,0,5428071,4660343,4662930,4890898,5286458,5186656,2762237,5424459,3876717,General Fund,Mayor,1,Open and Effective Government,4730324,5303988,Mayor,5738368,4858118,3680496,6399271,5340665,http://nola.gov/mayor/,5900931,6334282
1271281,"They Mayor's Office public safety spending pays for NOLA FOR LIFE, and Criminal Justice Coordiantion to create efficencies in the criminal justice system.",1273826,Mayor's Office,1,0,6270515,4812258,4622806,5587871,5003298,2064368,817071,0,2024718,General Fund,Mayor,2,Public Safety ,4197373,3845432,Criminal Justice Coordination/Homeland Security,1557484,2630907,662281,1167211,966283,http://nolaforlife.org/home/,2244273,1177392
1073467,"The Mayor's Office of Cultural Economy creates opportunities for the film, arts, music and culinary industries. The Office of Ecnomic Development works to bring job and business opportunities to New Orleans.",936114,Mayor's Office,1,0,0,1180844,1180844,2116284,1888194,2094511,0,1297424,1903998,General Fund,Mayor,3,Economic Development ,1576055,2199237,Office of Cultural Economy/Office of Economic Development,1326166,1156416,1374634,734847,1203489,http://www.nola.gov/cultural-economy/,1358299,1180575
2442794,The Community Development Office fights blight and creates affordable housing in the city of New Orleans.,3948283,Mayor's Office,1,0,1294098,112562,109975,106933,126233,644899,277383,169414,574187,General Fund,Mayor,4,Sustainable Communities ,361959,266517,Community Development,518599,246033,232305,167481,893452,http://www.nola.gov/community-development/,4246873,1621785
65686,,81878,Mayor's Office,1,0,0,0,0,0,0,50000,76070,0,0,General Fund,Mayor,5,Children and Families ,519168,0,Ryan White/HIV/AIDS Funding,3760,0,0,349123,0,nola.gov/mayor,200000,100000
3985940,The Service and Innovation team works to find effeciences in city contracts and structure. The Office of Performance Accountability promotes better city services through data reporting to residents.,7388213,Miscellaneous Programs,1,0,9590184,8805702,9082077,8779065,7356760,131000,5069242,5553240,98766,General Fund,CAO,1,Open and Effective Government,12502661,10272583,Service and Innovation/Office of Performance Accountability/Worker's Compensation,8443855,12011760,23000080,1941867,14472094,http://www.nola.gov/performance-and-accountability/,1998000,906597
12212162,The NOPD consent decree fullfills federal mandates to improve the police department. The Public Defender's Office provides legal representation to those who cannot afford it.,6870003,Miscellaneous Programs,1,0,6283833,7280955,5754556,7454222,9067845,0,0,5900000,2243000,General Fund,CAO,2,Public Safety ,9521991,4594007,NOPD Consent Decree/Public Defender's Office,-1847557,-1139261,15183181,208911,5221000,http://www.opdla.org,1000000,0
3841687,The Summer Youth programs gives youth ages 13-21 summer work experience that give them job skills for the real world. TIF funds offer tax incentives to business creating jobs in New Orleans.,3796173,Miscellaneous Programs,1,0,4642704,5061000,5573500,4810000,5522000,4042528,3544713,5229727,4625883,General Fund,CAO,3,Economic Development ,3756243,4494976,Mayor's Summer Youth Program/TIF ,3841382,3592786,2487293,3896635,7747129,http://www.nola.gov/economic-development/workforce-development/nola-youthworks/,3747129,3796173
5180802,,4499283,Miscellaneous Programs,1,0,4855496,1460163,4582203,5526246,2759392,4934492,3817600,4508560,4829624,General Fund,CAO,4,Sustainable Communities ,5039642,4547479,Participation Grants: SPCA/LSU Ag Center/Regional Planning Commission,4742165,4515409,3519738,4743708,3034510,,3882105,5044510
0,"The New Orleans Recreation Development Commission runs parks, community centers, and programming at facities across New Orleans.",0,Miscellaneous Programs,1,0,14763130,10868623,9231813,12744763,12168660,8005200,0,8333966,8301936,General Fund,CAO,5,Children and Families ,10122793,9076116,"NORD/Participation Funds: Department on Aging, Veterans Affairs, TCA",6461048,7415951,372,5048487,2747129,http://nordc.org,0,0
0,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
0,City Council Other Fund dollars come from self-generated revenues or special funds.,0,City Council,2,235320,5935000,6905000,6905000,5935000,6905000,0,0,0,0,Other Fund,City Council,1,Open and Effective Government,5935000,11422057,Council,4632,0,0,0,0,http://www.nolacitycouncil.com/,0,0
11877701,Other Fund dollars under the CAO operate the Office of Homeland Security and come from federal grants.,26910629,Chief Administrative Office,2,2523228,24213797,1723582,2221996,1109498,35012600,58602558,48894322,3385158,10630471,Other Fund,CAO,1,Open and Effective Government,668234,3764473,CAO,11395693,1547935,2594855,5982109,24409158,http://www.nola.gov/chief-administrative-office/,10707601,4611836
307674,Law Department Other Fund dollars come from the Housing Improvement Fund as well as state and local foundation grants.,251886,Law Department,2,236011,1043277,615800,514844,1043277,842927,632877,606120,540686,577165,Other Fund,Mayor,1,Open and Effective Government,781953,580510,Law  ,554862,530110,191741,554074,221816,http://www.nola.gov/city-attorney/,245279,274333
24894417,,20104764,New Orleans Fire Department,2,20788149,4297032,25000,0,4025000,7073564,4548481,844417,532000,4481726,Other Fund,Deputy Mayor,2,Public Safety ,3865986,4752561,Fire,4555388,2052049,457789,4443174,3769971,http://www.nola.gov/nofd/,10851771,0
182732,Safety and Permit's Other Funding comes from a combination of federal grants as well as state and local foundation grants.,0,Safety & Permits Department,2,1237863,0,1024415,924187,0,7227,0,0,0,1452286,Other Fund,CAO,3,Economic Development ,532954,909490,Safety and Permits,2670067,0,383739,0,3416503,http://www.nola.gov/safety-and-permits/,10699778,0
26891956,"Some Other Funds are available to the NOPD through federal and state programs that pay for forensic testing, the D.A.R.E program, violent crime and sexual assault task forces.",21872031,New Orleans Police Department,2,24797727,18975048,10462608,6118385,13498483,20574609,9231748,8630090,7673791,13373098,Other Fund,Mayor,2,Public Safety ,9157809,8383511,Police  ,10400731,0,1886076,138757,16271501,http://www.nola.gov/nopd/,30337269,9938438
176170,,9437,Sanitation Department,2,2515,71839,0,0,0,4143602,0,0,0,0,Other Fund,CAO,4,Sustainable Communities ,-1519922,159515,Sanitation,5157985,554912,0,0,25431662,http://www.nola.gov/sanitation/,30337269,794787
5922541,Other funding for the Health Department comes from federal grants along with state and local foundation grants.,4191682,Department of Health,2,6596105,23999552,20490680,15422195,22928642,23828600,12549028,10627317,16467847,5501647,Other Fund,CAO,2,Public Safety ,13111791,12293721,Health  ,11371485,11240055,4998170,3327385,10695810,http://www.nola.gov/health-department/,10606634,9247086
59011,Some federal funding covers administrative costs.,62512,Human Services/Youth Study Center,2,37511,0,559454,0,0,678762,1275470,837818,562469,1146231,Other Fund,Deputy Mayor,2,Public Safety ,92791,63591,Human Services,3703143,29424,3008,49963,837025,http://www.nola.gov/youth-study-center/,854275,854278
44594,,0,Department of Finance,2,0,6639383,5000000,0,6139383,5915000,0,0,0,0,Other Fund,CAO,1,Open and Effective Government,423294,8588433,Finance,0,8085220,0,0,63711,http://www.nola.gov/finance/,72552,0
2078449,,2072325,Property Management,2,5879734,123507,141144,580144,0,1768762,2657835,2087198,484637,11746368,Other Fund,Deputy Mayor,1,Open and Effective Government,-85966,575533,Property Management,12680742,2635966,914540,954967,1178673,http://www.nola.gov/property-management/,4552379,2000237
0,,0,Civil Service,2,0,0,0,0,0,0,0,0,0,0,Other Fund,CAO,1,Open and Effective Government,0,0,Civil Service,0,0,0,0,0,http://www.nola.gov/civil-service/,0,0
2327253,Public Works Other Fund dollars come from HUD.,3915335,Department of Public Works,2,4498099,19872770,7129119,1300000,8331085,28305854,4279510,7542093,1000000,3000000,Other Fund,Deputy Mayor,4,Sustainable Communities ,2003731,1077005,Public Works,53691119,917491,1814165,0,27481645,http://www.nola.gov/dpw/,44690887,8463212
183138,Parks and Parkways Other Fund dollars come from trust funds or are self generated and pay for golf course maintenance and park planning.,28364,Department of Parks and Parkways,2,27951,1460073,1000000,900000,0,1249953,0,0,0,147571,Other Fund,CAO,4,Sustainable Communities ,742499,773189,Parks and Parkways,9402528,280652,0,0,411434,http://www.nola.gov/parks-and-parkways/,337896,53251
6757518,The NOPL is almost exclusively funded by Other Fund dollars from a dedicated millage that pay for library operations and self-generated funds.,6118791,New Orleans Public Library,2,452671,22439060,12574498,12974861,1100000,20894375,8393956,10367711,12112000,16289691,Other Fund,Independent Board,5,Children and Families ,13473460,12470057,Library,22095320,11615394,7623511,8595405,14563505,http://www.neworleanspubliclibrary.org/welcome.htm,11798267,6969529
47063,,0,Historic District Landmarks Commission,2,0,0,0,0,0,0,0,54860,0,0,Other Fund,CAO,4,Sustainable Communities ,0,0,HDLC,0,0,20480,0,8360,http://www.nola.gov/hdlc/,61343,0
0,,0,Vieux Carre Commission,2,0,0,0,0,0,0,0,0,0,0,Other Fund,CAO,4,Sustainable Communities ,0,0,VCC,0,0,0,0,2702,http://www.nola.gov/vcc/,0,0
0,,0,Alcoholic Beverages Control Board,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Independent Board,1,Open and Effective Government,0,0,Alcoholic Bvg Ctrl. Bd.,0,0,0,0,0,http://nolacitycouncil.com/resources/resources_alcoholicbev_board.asp,0,0
0,CPC's other fund dollars come from local and state foundation grants. ,0,City Planning Commission,2,0,0,469021,459519,0,0,0,0,0,0,Other Fund,Deputy Mayor,4,Sustainable Communities ,207749,450567,CPC,0,0,0,0,1189,http://www.nola.gov/city-planning/,0,0
781131,"MTRCB's other funded is provided by trust funds, self generated revenue, and grants. ",290541,"Mosquito, Termite and Rodent Control Board",2,551932,1740008,814481,791584,780283,1484250,574619,567598,30755,864861,Other Fund,Deputy Mayor,5,Children and Families ,620692,494768,Mosquito Control Bd.,594262,146911,217082,197001,931690,http://www.nola.gov/mosquito/,1375829,1301758
0,,0,New Orleans Museum of Art,2,0,0,0,0,0,0,0,0,0,0,Other Fund,Independent Board,5,Children and Families ,0,0,NOMA,72591,0,0,0,0,http://noma.org/,0,0
0,"Other funding for the Inspector General comes from state, local, and federal grants for oversight of programs like Recovery School District facility construction.",0,General Services,2,0,160976,318377,0,72146,305033,0,0,798000,2611191,Other Fund,Independent Board,6,Open and Effective Government,233116,188048,OIG,174524,245439,0,0,0,http://www.nolaoig.org/main/,0,0
29777848,Other Fund dollars pay for blight reduction and economic development programs.,33871852,Office of Community Development,2,19754684,77075161,50145068,52904424,48792333,233116,69618690,76172287,45374429,77419674,Other Fund,CAO,1,Open and Effective Government,21267491,18529784,Community Development,22831898,19615130,27758067,19196473,69144484,http://www.nola.gov/community-development/,0,0
0,,0,Orleans Parish District Attorney's Office,2,0,0,0,0,0,0,0,0,0,0,Other Fund,District Attorney,2,Public Safety ,0,0,District Attorney,0,0,0,0,1981207,http://orleansda.com/,1279328,0
